Name,URL
Оксана Постранська,
Віктор Ющенко,https://uk.wikipedia.org/wiki/%D0%AE%D1%89%D0%B5%D0%BD%D0%BA%D0%BE_%D0%92%D1%96%D0%BA%D1%82%D0%BE%D1%80_%D0%90%D0%BD%D0%B4%D1%80%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87
Олександр Зінченко,https://uk.wikipedia.org/wiki/%D0%97%D1%96%D0%BD%D1%87%D0%B5%D0%BD%D0%BA%D0%BE
Євген Бистрицький,https://uk.wikipedia.org/wiki/%D0%91%D0%B8%D1%81%D1%82%D1%80%D0%B8%D1%86%D1%8C%D0%BA%D0%B8%D0%B9_%D0%84%D0%B2%D0%B3%D0%B5%D0%BD_%D0%9A%D0%BE%D1%81%D1%82%D1%8F%D0%BD%D1%82%D0%B8%D0%BD%D0%BE%D0%B2%D0%B8%D1%87
Тетяна Черторижська,
Вадим Пащенко,https://uk.wikipedia.org/wiki/%D0%9F%D0%B0%D1%89%D0%B5%D0%BD%D0%BA%D0%BE_%D0%92%D0%B0%D0%B4%D0%B8%D0%BC_%D0%86%D0%BB%D0%BB%D1%96%D1%87
Тетяна Некряч,
Марина Рекун,
Анастасія Шведик,
Мирослав Попович,https://uk.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BF%D0%BE%D0%B2%D0%B8%D1%87_%D0%9C%D0%B8%D1%80%D0%BE%D1%81%D0%BB%D0%B0%D0%B2_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87
Іван Чирко,
Григір Тютюнник,https://uk.wikipedia.org/wiki/%D0%A2%D1%8E%D1%82%D1%8E%D0%BD%D0%BD%D0%B8%D0%BA_%D0%93%D1%80%D0%B8%D0%B3%D1%96%D1%80_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87
Михайло Відейко,
Масон Лемберг,
Дар’я Петрушенко,
Євгенія Радзієвська,
Іван Соболь,
Юрій Тис,https://uk.wikipedia.org/wiki/%D0%AE%D1%80%D1%96%D0%B9_%D0%A2%D0%B8%D1%81
Вадим Бойко,https://uk.wikipedia.org/wiki/%D0%92%D0%B0%D0%B4%D0%B8%D0%BC_%D0%91%D0%BE%D0%B9%D0%BA%D0%BE
Дмитро Паламарчук,https://uk.wikipedia.org/wiki/%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%BE_%D0%9F%D0%B0%D0%BB%D0%B0%D0%BC%D0%B0%D1%80%D1%87%D1%83%D0%BA
Віктор Шовкун,https://uk.wikipedia.org/wiki/%D0%A8%D0%BE%D0%B2%D0%BA%D1%83%D0%BD_%D0%92%D1%96%D0%BA%D1%82%D0%BE%D1%80_%D0%99%D0%BE%D1%81%D0%B8%D0%BF%D0%BE%D0%B2%D0%B8%D1%87
Василь Барка,https://uk.wikipedia.org/wiki/%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C_%D0%91%D0%B0%D1%80%D0%BA%D0%B0
Софія Тобілевич,https://uk.wikipedia.org/wiki/%D0%A2%D0%BE%D0%B1%D1%96%D0%BB%D0%B5%D0%B2%D0%B8%D1%87_%D0%A1%D0%BE%D1%84%D1%96%D1%8F_%D0%92%D1%96%D1%82%D0%B0%D0%BB%D1%96%D1%97%D0%B2%D0%BD%D0%B0
Михайло Слабошпицький,https://uk.wikipedia.org/wiki/%D0%A1%D0%BB%D0%B0%D0%B1%D0%BE%D1%88%D0%BF%D0%B8%D1%86%D1%8C%D0%BA%D0%B8%D0%B9_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE_%D0%A4%D0%B5%D0%B4%D0%BE%D1%82%D0%BE%D0%B2%D0%B8%D1%87
Марія Струтинська,https://uk.wikipedia.org/wiki/%D0%A1%D1%82%D1%80%D1%83%D1%82%D0%B8%D0%BD%D1%81%D1%8C%D0%BA%D0%B0_%D0%9C%D0%B0%D1%80%D1%96%D1%8F_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%96%D0%B2%D0%BD%D0%B0
Анатолій Онишко,https://uk.wikipedia.org/wiki/%D0%9E%D0%BD%D0%B8%D1%88%D0%BA%D0%BE_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D1%96%D0%B9_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%BE%D0%B2%D0%B8%D1%87
Петро Таращук,https://uk.wikipedia.org/wiki/%D0%A2%D0%B0%D1%80%D0%B0%D1%89%D1%83%D0%BA_%D0%9F%D0%B5%D1%82%D1%80%D0%BE_%D0%92%D1%81%D0%B5%D0%B2%D0%BE%D0%BB%D0%BE%D0%B4%D0%BE%D0%B2%D0%B8%D1%87
Ольга Смольницька,
Ольга Ворожбит,
Олексій Чугаєв,
Анатолій Стась,https://uk.wikipedia.org/wiki/%D0%A1%D1%82%D0%B0%D1%81%D1%8C_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D1%96%D0%B9_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87
Надія Боровик,
Максим Віхров,
Віктор Тимчук,https://uk.wikipedia.org/wiki/%D0%A2%D0%B8%D0%BC%D1%87%D1%83%D0%BA_%D0%92%D1%96%D0%BA%D1%82%D0%BE%D1%80_%D0%9C%D0%B5%D1%84%D0%BE%D0%B4%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87
Мирон Володін,
Адріан Кащенко,https://uk.wikipedia.org/wiki/%D0%9A%D0%B0%D1%89%D0%B5%D0%BD%D0%BA%D0%BE_%D0%90%D0%B4%D1%80%D1%96%D0%B0%D0%BD_%D0%A4%D0%B5%D0%BE%D1%84%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87
Карпо Скрипченко,
Зінаїда Кундіренко,
Василь Базів,https://uk.wikipedia.org/wiki/%D0%91%D0%B0%D0%B7%D1%96%D0%B2_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C_%D0%90%D0%BD%D0%B4%D1%80%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87
Євген Дроб'язко,https://uk.wikipedia.org/wiki/%D0%94%D1%80%D0%BE%D0%B1%27%D1%8F%D0%B7%D0%BA%D0%BE_%D0%84%D0%B2%D0%B3%D0%B5%D0%BD_%D0%90%D0%BD%D1%82%D0%BE%D0%BD%D0%BE%D0%B2%D0%B8%D1%87
Марко Кропивницький,https://uk.wikipedia.org/wiki/%D0%9A%D1%80%D0%BE%D0%BF%D0%B8%D0%B2%D0%BD%D0%B8%D1%86%D1%8C%D0%BA%D0%B8%D0%B9_%D0%9C%D0%B0%D1%80%D0%BA%D0%BE_%D0%9B%D1%83%D0%BA%D0%B8%D1%87
Валерія Бурлакова,
Юрій Горліс-Горський,https://uk.wikipedia.org/wiki/%D0%AE%D1%80%D1%96%D0%B9_%D0%93%D0%BE%D1%80%D0%BB%D1%96%D1%81-%D0%93%D0%BE%D1%80%D1%81%D1%8C%D0%BA%D0%B8%D0%B9
Мирослава Лещенко,https://uk.wikipedia.org/wiki/%D0%9B%D0%B5%D1%89%D0%B5%D0%BD%D0%BA%D0%BE_%D0%9C%D0%B8%D1%80%D0%BE%D1%81%D0%BB%D0%B0%D0%B2%D0%B0_%D0%9F%D0%B8%D0%BB%D0%B8%D0%BF%D1%96%D0%B2%D0%BD%D0%B0
Оксана Луцишина,https://uk.wikipedia.org/wiki/%D0%9B%D1%83%D1%86%D0%B8%D1%88%D0%B8%D0%BD%D0%B0_%D0%9E%D0%BA%D1%81%D0%B0%D0%BD%D0%B0_%D0%9F%D0%B5%D1%82%D1%80%D1%96%D0%B2%D0%BD%D0%B0
Валентина Бурбело,
Марія Венгренівська,https://uk.wikipedia.org/wiki/%D0%92%D0%B5%D0%BD%D0%B3%D1%80%D0%B5%D0%BD%D1%96%D0%B2%D1%81%D1%8C%D0%BA%D0%B0_%D0%9C%D0%B0%D1%80%D1%96%D1%8F_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D1%96%D1%97%D0%B2%D0%BD%D0%B0
Олександр Бандурка,https://uk.wikipedia.org/wiki/%D0%91%D0%B0%D0%BD%D0%B4%D1%83%D1%80%D0%BA%D0%B0_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%9C%D0%B0%D1%80%D0%BA%D0%BE%D0%B2%D0%B8%D1%87
Микола Сидоренко,
Йосип Фельдштейн,
Єва Нарубіна,
Ніка Новікова,
Андрій Курков,https://uk.wikipedia.org/wiki/%D0%9A%D1%83%D1%80%D0%BA%D0%BE%D0%B2_%D0%90%D0%BD%D0%B4%D1%80%D1%96%D0%B9_%D0%AE%D1%80%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87
Юрій Винничук,https://uk.wikipedia.org/wiki/%D0%92%D0%B8%D0%BD%D0%BD%D0%B8%D1%87%D1%83%D0%BA_%D0%AE%D1%80%D1%96%D0%B9_%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE%D0%B2%D0%B8%D1%87
Марія Пригара,https://uk.wikipedia.org/wiki/%D0%9F%D1%80%D0%B8%D0%B3%D0%B0%D1%80%D0%B0_%D0%9C%D0%B0%D1%80%D1%96%D1%8F_%D0%90%D1%80%D0%BA%D0%B0%D0%B4%D1%96%D1%97%D0%B2%D0%BD%D0%B0
Валентин Струтинський,
