Name,URL
Володимир Співак,
Денис Квітковський,https://uk.wikipedia.org/wiki/%D0%9A%D0%B2%D1%96%D1%82%D0%BA%D0%BE%D0%B2%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%94%D0%B5%D0%BD%D0%B8%D1%81_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%BE%D0%B2%D0%B8%D1%87
Марія Ряполова,https://uk.wikipedia.org/wiki/%D0%A0%D1%8F%D0%BF%D0%BE%D0%BB%D0%BE%D0%B2%D0%B0_%D0%9C%D0%B0%D1%80%D1%96%D1%8F_%D0%9A%D0%BE%D1%81%D1%82%D1%8F%D0%BD%D1%82%D0%B8%D0%BD%D1%96%D0%B2%D0%BD%D0%B0
Ганна Чабарай,
Микола Ільницький,https://uk.wikipedia.org/wiki/%D0%86%D0%BB%D1%8C%D0%BD%D0%B8%D1%86%D1%8C%D0%BA%D0%B8%D0%B9_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9%D0%BE%D0%B2%D0%B8%D1%87
Людмила Дешко,
Катерина Горська,
Ігор Дубинський,https://uk.wikipedia.org/wiki/%D0%94%D1%83%D0%B1%D1%96%D0%BD%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%86%D0%B3%D0%BE%D1%80_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87
Дарія Маттінґлі,
Оксана Кисіль,
Галина Лозинська,
Володимир Крекотень,
Олександр Шевченко,https://uk.wikipedia.org/wiki/%D0%A8%D0%B5%D0%B2%D1%87%D0%B5%D0%BD%D0%BA%D0%BE_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80
Наталя Кудрявцева,
Вольфрам Бурґгардт,https://uk.wikipedia.org/wiki/%D0%92%D0%BE%D0%BB%D1%8C%D1%84%D1%80%D0%B0%D0%BC_%D0%91%D1%83%D1%80%D0%B3%D0%B0%D1%80%D0%B4%D1%82
Антоніна Корінь,
Олександра Бобренко,
Марія Лапенко,
Володимир Шелест,
Олександр Любчик,
Дмитро Каменський,
Мирон Нестерчук,https://uk.wikipedia.org/wiki/%D0%9D%D0%B5%D1%81%D1%82%D0%B5%D1%80%D1%87%D1%83%D0%BA_%D0%9C%D0%B8%D1%80%D0%BE%D0%BD_%D0%9C%D0%B0%D1%82%D0%B2%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87
Владислав Борсук,
Анатоль Перепадя,https://uk.wikipedia.org/wiki/%D0%9F%D0%B5%D1%80%D0%B5%D0%BF%D0%B0%D0%B4%D1%8F_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D1%8C_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87
