Name,URL
В. Єфіменко,
Богдан Кордюк,https://uk.wikipedia.org/wiki/%D0%9A%D0%BE%D1%80%D0%B4%D1%8E%D0%BA_%D0%91%D0%BE%D0%B3%D0%B4%D0%B0%D0%BD
Богдан Вербицький,
Артем Нікитенко,
Анонімний чоловік241145843.900000.01319,
Анонімна жінка241145843.900000.01319,
Анатолій Кущ,https://uk.wikipedia.org/wiki/%D0%9A%D1%83%D1%89_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D1%96%D0%B9_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%BE%D0%B2%D0%B8%D1%87
Анастасія Березінська,
А. Ф. Булат,
І. О. Ященко,
Б. В. Бокій,
та ін.,
А. Гнатюк,
Інна Золотухіна,
Ілля Мафтер,
Ігор Федірчик,
Ігор М’який,
Ігор М'який,
Ігор Каганець,https://uk.wikipedia.org/wiki/%D0%9A%D0%B0%D0%B3%D0%B0%D0%BD%D0%B5%D1%86%D1%8C_%D0%86%D0%B3%D0%BE%D1%80_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87
Володимир Щербина,https://uk.wikipedia.org/wiki/%D0%A9%D0%B5%D1%80%D0%B1%D0%B8%D0%BD%D0%B0_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%86%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87
І. Ю. Вільчинська,
Євген Моренцов,
Є. В. Годованик,
TenDays,
анонімний чоловік231098100.400000.01264,
Яна Зінкевич,https://uk.wikipedia.org/wiki/%D0%97%D1%96%D0%BD%D0%BA%D0%B5%D0%B2%D0%B8%D1%87_%D0%AF%D0%BD%D0%B0_%D0%92%D0%B0%D0%B4%D0%B8%D0%BC%D1%96%D0%B2%D0%BD%D0%B0
Яків Романенко,
Я. Пінчук,
Юрій Пригодницький,
Юрій Міщенко,
Цецілія Кін,
Христя Хмиз,
Федір Моргун,
Уїльям Л. Шірер,
Тарас Новак,
Т. В. Нікольська,
Т. В. Білецька,
Станіслав Черпак,
Здзіслав Хардт,
Сергій Лисенко,
Сергій Грабар,https://uk.wikipedia.org/wiki/%D0%93%D1%80%D0%B0%D0%B1%D0%B0%D1%80_%D0%A1%D0%B5%D1%80%D0%B3%D1%96%D0%B9_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87
Сергій Балан,
Світлана Єрмоленко,
Віталій Русанівський,https://uk.wikipedia.org/wiki/%D0%A0%D1%83%D1%81%D0%B0%D0%BD%D1%96%D0%B2%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%92%D1%96%D1%82%D0%B0%D0%BB%D1%96%D0%B9_%D0%9C%D0%B0%D0%BA%D0%B0%D1%80%D0%BE%D0%B2%D0%B8%D1%87
С. Подолянин,
С. Д. Погорілий,
О. А. Верещинський,
Д. Ю. Вітель,
С. Г. Меленко,
С. В. Прилуцький,
С. І. Бугера,
Роман Савицький,https://uk.wikipedia.org/wiki/%D0%A1%D0%B0%D0%B2%D0%B8%D1%86%D1%8C%D0%BA%D0%B8%D0%B9_%D0%A0%D0%BE%D0%BC%D0%B0%D0%BD_%D0%86%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87
Роман Голинський,
Рецензенти,
Рейма Руханен,
Севір Нікіташенко,
Р. І. Стовбун,
Петро Грицак,
Орест Берещанин,
Ольга Зернецька,
Олеся Анастасьєва,
Олесь Ясний,https://uk.wikipedia.org/wiki/%D0%A1%D0%B0%D0%B2%D0%B8%D1%86%D1%8C%D0%BA%D0%B8%D0%B9_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D1%96%D0%B9_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%BE%D0%B2%D0%B8%D1%87
Олена Прилипко,
Олена Орлик,
Олена Матвієнко,https://uk.wikipedia.org/wiki/%D0%9C%D0%B0%D1%82%D0%B2%D1%96%D1%94%D0%BD%D0%BA%D0%BE_%D0%9E%D0%BB%D0%B5%D0%BD%D0%B0_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D1%96%D0%B2%D0%BD%D0%B0
Олексій Рябов,https://uk.wikipedia.org/wiki/%D0%A0%D1%8F%D0%B1%D0%BE%D0%B2_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D1%96%D0%B9_%D0%9F%D0%B0%D0%BD%D1%82%D0%B5%D0%BB%D0%B5%D0%B9%D0%BC%D0%BE%D0%BD%D0%BE%D0%B2%D0%B8%D1%87
Олексій Братко-Кутинський,
Олександр Коцюр,
Олег Сидор,
Оксана Хіта,
Оксана Ременяка,
Геннадій Гамалій,
О. Яковлєва,
