Автор,Повне ім'я,Рік народження,Рік смерті,Місце народження (населений пункт),Район,Регіон1,URL,Рідна мова,Стать,Місце народження,Регіон
Отто Ейхельман,Ейхельман Отто Оттович,1854.0,1943.0,Санкт-Петербург,Північно-Західний федеральний округ,Росія,https://uk.wikipedia.org/wiki/%D0%95%D0%B9%D1%85%D0%B5%D0%BB%D1%8C%D0%BC%D0%B0%D0%BD_%D0%9E%D1%82%D1%82%D0%BE_%D0%9E%D1%82%D1%82%D0%BE%D0%B2%D0%B8%D1%87,RU,M,,
Олекса Горбач,Горбач Олекса Теодорович,1918.0,,Романів,Житомирський,Житомирська,https://uk.wikipedia.org/wiki/%D0%93%D0%BE%D1%80%D0%B1%D0%B0%D1%87_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0_%D0%A2%D0%B5%D0%BE%D0%B4%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Олег Драч,Драч Олег Тарасович,1959.0,,Зимна Вода,Львівський,Львівська,https://uk.wikipedia.org/wiki/%D0%94%D1%80%D0%B0%D1%87_%D0%9E%D0%BB%D0%B5%D0%B3_%D0%A2%D0%B0%D1%80%D0%B0%D1%81%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Мирослав Трофимук,Трофимук Мирослав Степанович,1960.0,,Львів,Львівський,Львівська,https://uk.wikipedia.org/wiki/%D0%A2%D1%80%D0%BE%D1%84%D0%B8%D0%BC%D1%83%D0%BA_%D0%9C%D0%B8%D1%80%D0%BE%D1%81%D0%BB%D0%B0%D0%B2_%D0%A1%D1%82%D0%B5%D0%BF%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Віталій Портников,Портников Віталій Едуардович,1967.0,,Київ,,Україна,https://uk.wikipedia.org/wiki/%D0%9F%D0%BE%D1%80%D1%82%D0%BD%D0%B8%D0%BA%D0%BE%D0%B2_%D0%92%D1%96%D1%82%D0%B0%D0%BB%D1%96%D0%B9_%D0%95%D0%B4%D1%83%D0%B0%D1%80%D0%B4%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Володимир Січинський,Січинський Володимир Юхимович,1894.0,,Кам’янець-Подільський,Кам’янець-Подільський,Хмельницька,https://uk.wikipedia.org/wiki/%D0%A1%D1%96%D1%87%D0%B8%D0%BD%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%AE%D1%85%D0%B8%D0%BC%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Євген Захаров,Захаров Євген Юхимович,1952.0,,Харків,Харківський,Харківська,https://uk.wikipedia.org/wiki/%D0%97%D0%B0%D1%85%D0%B0%D1%80%D0%BE%D0%B2_%D0%84%D0%B2%D0%B3%D0%B5%D0%BD_%D0%AE%D1%85%D0%B8%D0%BC%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Соломія Чубай,Чубай Соломія Григорівна,1979.0,,Львів,Львівський,Львівська,https://uk.wikipedia.org/wiki/%D0%A7%D1%83%D0%B1%D0%B0%D0%B9_%D0%A1%D0%BE%D0%BB%D0%BE%D0%BC%D1%96%D1%8F_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D1%96%D0%B2%D0%BD%D0%B0,UK,M,,
Дмитро Наливайко,Наливайко Дмитро Сергійович,1929.0,2023.0,Понорниця,Новгород-Сіверський,Чернігівська,https://uk.wikipedia.org/wiki/%D0%9D%D0%B0%D0%BB%D0%B8%D0%B2%D0%B0%D0%B9%D0%BA%D0%BE_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%BE_%D0%A1%D0%B5%D1%80%D0%B3%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Степан Ріпецький,Ріпецький Степан Теодорович,1894.0,,Самбір,Самбірський,Львівська,https://uk.wikipedia.org/wiki/%D0%A0%D1%96%D0%BF%D0%B5%D1%86%D1%8C%D0%BA%D0%B8%D0%B9_%D0%A1%D1%82%D0%B5%D0%BF%D0%B0%D0%BD_%D0%A2%D0%B5%D0%BE%D0%B4%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Петро Таланчук,Таланчук Петро Михайлович,1938.0,,Городище-Косівське,Білоцерківський,Київська,https://uk.wikipedia.org/wiki/%D0%A2%D0%B0%D0%BB%D0%B0%D0%BD%D1%87%D1%83%D0%BA_%D0%9F%D0%B5%D1%82%D1%80%D0%BE_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Ярослав Овад,Овад Ярослав,1920.0,,Львів,Львівський,Львівська,https://uk.wikipedia.org/wiki/%D0%9E%D0%B2%D0%B0%D0%B4_%D0%AF%D1%80%D0%BE%D1%81%D0%BB%D0%B0%D0%B2,UK,M,,
Марко Павлишин,Павлишин Марко Романович,1955.0,,Брісбен,Квінсленд,Австра́лія,https://uk.wikipedia.org/wiki/%D0%9F%D0%B0%D0%B2%D0%BB%D0%B8%D1%88%D0%B8%D0%BD_%D0%9C%D0%B0%D1%80%D0%BA%D0%BE_%D0%A0%D0%BE%D0%BC%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,EN,M,,
Флорій Бацевич,Бацевич Флорій Сергійович,1949.0,,Летичів,Хмельницький,Хмельницька,https://uk.wikipedia.org/wiki/%D0%91%D0%B0%D1%86%D0%B5%D0%B2%D0%B8%D1%87_%D0%A4%D0%BB%D0%BE%D1%80%D1%96%D0%B9_%D0%A1%D0%B5%D1%80%D0%B3%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Зінаїда Луценко,Луценко Зінаїда Валентинівна,1974.0,,Цибулів,Уманський,Черкаська,https://uk.wikipedia.org/wiki/%D0%9B%D1%83%D1%86%D0%B5%D0%BD%D0%BA%D0%BE_%D0%97%D1%96%D0%BD%D0%B0%D1%97%D0%B4%D0%B0_%D0%92%D0%B0%D0%BB%D0%B5%D0%BD%D1%82%D0%B8%D0%BD%D1%96%D0%B2%D0%BD%D0%B0,UK,M,,
Тадей Карабович,Тадей Карабович,1959.0,,Савин,Чернігівський,Чернігівська,https://uk.wikipedia.org/wiki/%D0%A2%D0%B0%D0%B4%D0%B5%D0%B9_%D0%9A%D0%B0%D1%80%D0%B0%D0%B1%D0%BE%D0%B2%D0%B8%D1%87,RU,M,,
Петро Козланюк,Козланюк Петро Степанович,1904.0,1965.0,Коломийський район,Коломийський,Івано-Франківська,https://uk.wikipedia.org/wiki/%D0%9A%D0%BE%D0%B7%D0%BB%D0%B0%D0%BD%D1%8E%D0%BA_%D0%9F%D0%B5%D1%82%D1%80%D0%BE_%D0%A1%D1%82%D0%B5%D0%BF%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Ольга Пламеницька,Пламеницька Ольга Анатоліївна,1956.0,,Київ,,Україна,https://uk.wikipedia.org/wiki/%D0%9F%D0%BB%D0%B0%D0%BC%D0%B5%D0%BD%D0%B8%D1%86%D1%8C%D0%BA%D0%B0_%D0%9E%D0%BB%D1%8C%D0%B3%D0%B0_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D1%96%D1%97%D0%B2%D0%BD%D0%B0,UK,M,,
Федір Савченко,Савченко Федір Якович,1892.0,1936.0,Хорол,Лубенський,Полтавська,https://uk.wikipedia.org/wiki/%D0%A1%D0%B0%D0%B2%D1%87%D0%B5%D0%BD%D0%BA%D0%BE_%D0%A4%D0%B5%D0%B4%D1%96%D1%80_%D0%AF%D0%BA%D0%BE%D0%B2%D0%B8%D1%87,UK,F,,
Теодор Мацьків,Мацьків Теодор Іванович,1918.0,2011.0,Верхній Струтинь,Калуський,Івано-Франківська,https://uk.wikipedia.org/wiki/%D0%9C%D0%B0%D1%86%D1%8C%D0%BA%D1%96%D0%B2_%D0%A2%D0%B5%D0%BE%D0%B4%D0%BE%D1%80_%D0%86%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Володимир Рафєєнко,Рафєєнко Володимир Володимирович,1969.0,,Донецьк,Ворошиловський,Донецька,https://uk.wikipedia.org/wiki/%D0%A0%D0%B0%D1%84%D1%94%D1%94%D0%BD%D0%BA%D0%BE_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Василь Чапленко,Чапленко Василь Кирилович,1900.0,1990.0,Миколаївка,Краматорський,Донецька,https://uk.wikipedia.org/wiki/%D0%A7%D0%B0%D0%BF%D0%BB%D0%B5%D0%BD%D0%BA%D0%BE_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C_%D0%9A%D0%B8%D1%80%D0%B8%D0%BB%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Ірина Цілик,Цілик Ірина Андріївна,1982.0,,Київ,,Україна,https://uk.wikipedia.org/wiki/%D0%A6%D1%96%D0%BB%D0%B8%D0%BA_%D0%86%D1%80%D0%B8%D0%BD%D0%B0_%D0%90%D0%BD%D0%B4%D1%80%D1%96%D1%97%D0%B2%D0%BD%D0%B0,UK,M,,
Артемій Кірсанов,Кірсанов Артемій Павлович,1980.0,,Київ,,Україна,https://uk.wikipedia.org/wiki/%D0%9A%D1%96%D1%80%D1%81%D0%B0%D0%BD%D0%BE%D0%B2_%D0%90%D1%80%D1%82%D0%B5%D0%BC%D1%96%D0%B9_%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Роман Дашкевич,Дашкевич Роман Іванович,1892.0,1975.0,Борислав,Дрогобицький,Львівська,https://uk.wikipedia.org/wiki/%D0%94%D0%B0%D1%88%D0%BA%D0%B5%D0%B2%D0%B8%D1%87_%D0%A0%D0%BE%D0%BC%D0%B0%D0%BD_%D0%86%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Володимир Лановий,Лановий Володимир Тимофійович,1952.0,,Київ,,Україна,https://uk.wikipedia.org/wiki/%D0%9B%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D0%B9_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%A2%D0%B8%D0%BC%D0%BE%D1%84%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Микола Садовський,Садовський Микола Карпович,1856.0,1933.0,Костувате,Вознесенський,Миколаївська,https://uk.wikipedia.org/wiki/%D0%A1%D0%B0%D0%B4%D0%BE%D0%B2%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0_%D0%9A%D0%B0%D1%80%D0%BF%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Григорій Штонь,Штонь Григорій Максимович,1941.0,2021.0,Вербовець,Косівський,Івано-Франківська,https://uk.wikipedia.org/wiki/%D0%A8%D1%82%D0%BE%D0%BD%D1%8C_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D1%96%D0%B9_%D0%9C%D0%B0%D0%BA%D1%81%D0%B8%D0%BC%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Павло Грицак,Грицак Павло Ількович,1980.0,,Київ,,Україна,https://uk.wikipedia.org/wiki/%D0%93%D1%80%D0%B8%D1%86%D0%B0%D0%BA_%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE_%D0%86%D0%BB%D1%8C%D0%BA%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Леонід Кравчук,Кравчук Леонід Макарович,1934.0,2022.0,Житін,Чудановіца,Румунія,https://uk.wikipedia.org/wiki/%D0%9A%D1%80%D0%B0%D0%B2%D1%87%D1%83%D0%BA_%D0%9B%D0%B5%D0%BE%D0%BD%D1%96%D0%B4_%D0%9C%D0%B0%D0%BA%D0%B0%D1%80%D0%BE%D0%B2%D0%B8%D1%87,RO,M,,
Віталій Михайловський,Михайловський Віталій Миколайович,1974.0,,Кам’янець-Подільський,Кам’янець-Подільський,Хмельницька,https://uk.wikipedia.org/wiki/%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%92%D1%96%D1%82%D0%B0%D0%BB%D1%96%D0%B9_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Томас Вулф,Томас Вулф,1900.0,1938.0,Єсвіль,Шербур,Франція,https://uk.wikipedia.org/wiki/%D0%A2%D0%BE%D0%BC%D0%B0%D1%81_%D0%92%D1%83%D0%BB%D1%84,FR,M,,
Михайло Лозинський,Лозинський Михайло Михайлович,1880.0,1937.0,Бабин,Рівненський,Рівненська,https://uk.wikipedia.org/wiki/%D0%9B%D0%BE%D0%B7%D0%B8%D0%BD%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
М. Павлик,Павлик Михайло Іванович,1853.0,1915.0,Монастирське,Тульчинський,Вінницька,https://uk.wikipedia.org/wiki/%D0%9F%D0%B0%D0%B2%D0%BB%D0%B8%D0%BA_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE_%D0%86%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Наталка Білоцерківець,Білоцерківець Наталка Геннадіївна,1954.0,,Куянівка,Сумський,Сумська,https://uk.wikipedia.org/wiki/%D0%91%D1%96%D0%BB%D0%BE%D1%86%D0%B5%D1%80%D0%BA%D1%96%D0%B2%D0%B5%D1%86%D1%8C_%D0%9D%D0%B0%D1%82%D0%B0%D0%BB%D0%BA%D0%B0_%D0%93%D0%B5%D0%BD%D0%BD%D0%B0%D0%B4%D1%96%D1%97%D0%B2%D0%BD%D0%B0,UK,M,,
Катерина Бех,Бех Катерина Борисівна,1998.0,,Солнечний,Екібастуз державна адміністрація,Казахстан,https://uk.wikipedia.org/wiki/%D0%91%D0%B5%D1%85_%D0%9A%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B0_%D0%91%D0%BE%D1%80%D0%B8%D1%81%D1%96%D0%B2%D0%BD%D0%B0,KK,M,,
Віталій Жежера,Жежера Віталій Миколайович,1953.0,,Яготинський район,Яготинський,Київська,https://uk.wikipedia.org/wiki/%D0%96%D0%B5%D0%B6%D0%B5%D1%80%D0%B0_%D0%92%D1%96%D1%82%D0%B0%D0%BB%D1%96%D0%B9_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Мечислав Гаско,Гаско Мечислав Едмундович,1907.0,1996.0,Луцьк,Луцький,Волинська,https://uk.wikipedia.org/wiki/%D0%93%D0%B0%D1%81%D0%BA%D0%BE_%D0%9C%D0%B5%D1%87%D0%B8%D1%81%D0%BB%D0%B0%D0%B2_%D0%95%D0%B4%D0%BC%D1%83%D0%BD%D0%B4%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Леонід Череватенко,Череватенко Леонід Васильович,1938.0,2014.0,Дніпро,Дніпровський,Дніпропетровська,https://uk.wikipedia.org/wiki/%D0%A7%D0%B5%D1%80%D0%B5%D0%B2%D0%B0%D1%82%D0%B5%D0%BD%D0%BA%D0%BE_%D0%9B%D0%B5%D0%BE%D0%BD%D1%96%D0%B4_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Богдан Цимбалістий,Цимбалістий Богдан-Ярослав Іванович,1919.0,1991.0,Бовшів,Івано-Франківський,Івано-Франківська,https://uk.wikipedia.org/wiki/%D0%A6%D0%B8%D0%BC%D0%B1%D0%B0%D0%BB%D1%96%D1%81%D1%82%D0%B8%D0%B9_%D0%91%D0%BE%D0%B3%D0%B4%D0%B0%D0%BD-%D0%AF%D1%80%D0%BE%D1%81%D0%BB%D0%B0%D0%B2_%D0%86%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Сергій Згурець,Згурець Сергій Григорович,1968.0,,Львів,Львівський,Львівська,https://uk.wikipedia.org/wiki/%D0%97%D0%B3%D1%83%D1%80%D0%B5%D1%86%D1%8C_%D0%A1%D0%B5%D1%80%D0%B3%D1%96%D0%B9_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Олександр Шевчук,Шевчук Олександр,1920.0,,Підгірці,Рівненський,Рівненська,https://uk.wikipedia.org/wiki/%D0%A8%D0%B5%D0%B2%D1%87%D1%83%D0%BA_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80,UK,M,,
Олег Шинкаренко,Шинкаренко Олег Вікторович,1976.0,,Запоріжжя,Запорізький,Запорізька,https://uk.wikipedia.org/wiki/%D0%A8%D0%B8%D0%BD%D0%BA%D0%B0%D1%80%D0%B5%D0%BD%D0%BA%D0%BE_%D0%9E%D0%BB%D0%B5%D0%B3_%D0%92%D1%96%D0%BA%D1%82%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Катря Гриневичева,Катря Гриневичева,1875.0,1947.0,Винники,Львівський,Львівська,https://uk.wikipedia.org/wiki/%D0%9A%D0%B0%D1%82%D1%80%D1%8F_%D0%93%D1%80%D0%B8%D0%BD%D0%B5%D0%B2%D0%B8%D1%87%D0%B5%D0%B2%D0%B0,UK,M,,
Григорій Афнер,Афнер Григорій Парфентійович,1890.0,,,,,https://uk.wikipedia.org/wiki/%D0%90%D1%84%D0%BD%D0%B5%D1%80_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D1%96%D0%B9_%D0%9F%D0%B0%D1%80%D1%84%D0%B5%D0%BD%D1%82%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,,M,,
Володимир Кашка,Кашка Володимир Васильович,1954.0,2006.0,Дністрик-Дубовий,Самбірський,Львівська,https://uk.wikipedia.org/wiki/%D0%9A%D0%B0%D1%88%D0%BA%D0%B0_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Аркадія Оленська-Петришин,Оленська-Петришин Аркадія Іванівна,1934.0,,Розношинці,Тернопільський,Тернопільська,https://uk.wikipedia.org/wiki/%D0%9E%D0%BB%D0%B5%D0%BD%D1%81%D1%8C%D0%BA%D0%B0-%D0%9F%D0%B5%D1%82%D1%80%D0%B8%D1%88%D0%B8%D0%BD_%D0%90%D1%80%D0%BA%D0%B0%D0%B4%D1%96%D1%8F_%D0%86%D0%B2%D0%B0%D0%BD%D1%96%D0%B2%D0%BD%D0%B0,UK,M,,
Юрій Перетятко,Перетятко Юрій Григорович,1960.0,,Львів,Львівський,Львівська,https://uk.wikipedia.org/wiki/%D0%9F%D0%B5%D1%80%D0%B5%D1%82%D1%8F%D1%82%D0%BA%D0%BE_%D0%AE%D1%80%D1%96%D0%B9_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Аркадій Животко,Животко Аркадій Петрович,1890.0,1948.0,Пухове,Вишгородський,Київська,https://uk.wikipedia.org/wiki/%D0%96%D0%B8%D0%B2%D0%BE%D1%82%D0%BA%D0%BE_%D0%90%D1%80%D0%BA%D0%B0%D0%B4%D1%96%D0%B9_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Маркіян Прохасько,Прохасько Маркіян Тарасович,1991.0,,Івано-Франківськ,Івано-Франківський,Івано-Франківська,https://uk.wikipedia.org/wiki/%D0%9F%D1%80%D0%BE%D1%85%D0%B0%D1%81%D1%8C%D0%BA%D0%BE_%D0%9C%D0%B0%D1%80%D0%BA%D1%96%D1%8F%D0%BD_%D0%A2%D0%B0%D1%80%D0%B0%D1%81%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Дмитро Калинчук,Вовнянко Дмитро Андрійович,1976.0,,Запоріжжя,Запорізький,Запорізька,https://uk.wikipedia.org/wiki/%D0%92%D0%BE%D0%B2%D0%BD%D1%8F%D0%BD%D0%BA%D0%BE_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%BE_%D0%90%D0%BD%D0%B4%D1%80%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Володимир Чернишенко,Чернишенко Володимир Олександрович,1986.0,,Київ,,Україна,https://uk.wikipedia.org/wiki/%D0%A7%D0%B5%D1%80%D0%BD%D0%B8%D1%88%D0%B5%D0%BD%D0%BA%D0%BE_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Іван Фізер,Фізер Іван Михайлович,1925.0,2007.0,Мирча,Бучанський,Київська,https://uk.wikipedia.org/wiki/%D0%A4%D1%96%D0%B7%D0%B5%D1%80_%D0%86%D0%B2%D0%B0%D0%BD_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Євген Куцик,Куцик Євген Якимович,1927.0,,Львів,Львівський,Львівська,https://uk.wikipedia.org/wiki/%D0%9A%D1%83%D1%86%D0%B8%D0%BA_%D0%84%D0%B2%D0%B3%D0%B5%D0%BD_%D0%AF%D0%BA%D0%B8%D0%BC%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Олена Захарченко,Захарченко Олена Богданівна,1977.0,,Рівне,Рівненський,Рівненська,https://uk.wikipedia.org/wiki/%D0%97%D0%B0%D1%85%D0%B0%D1%80%D1%87%D0%B5%D0%BD%D0%BA%D0%BE_%D0%9E%D0%BB%D0%B5%D0%BD%D0%B0_%D0%91%D0%BE%D0%B3%D0%B4%D0%B0%D0%BD%D1%96%D0%B2%D0%BD%D0%B0,UK,M,,
Мойсей Фішбейн,Фішбейн Мойсей Абрамович,1946.0,2020.0,Чернівці,Чернівецький,Чернівецька,https://uk.wikipedia.org/wiki/%D0%A4%D1%96%D1%88%D0%B1%D0%B5%D0%B9%D0%BD_%D0%9C%D0%BE%D0%B9%D1%81%D0%B5%D0%B9_%D0%90%D0%B1%D1%80%D0%B0%D0%BC%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Анна Шпилевська,Анна Шпилевська,1990.0,,Рівне,Рівненський,Рівненська,https://uk.wikipedia.org/wiki/%D0%90%D0%BD%D0%BD%D0%B0_%D0%A8%D0%BF%D0%B8%D0%BB%D0%B5%D0%B2%D1%81%D1%8C%D0%BA%D0%B0,UK,F,,
Юрій Луцький,Юрій Луцький,1919.0,2001.0,Іванівка,Ровеньківський,Луганська,https://uk.wikipedia.org/wiki/%D0%AE%D1%80%D1%96%D0%B9_%D0%9B%D1%83%D1%86%D1%8C%D0%BA%D0%B8%D0%B9,UK,M,,
Василь Витвицький,Витвицький Василь,1905.0,1999.0,Коломия,Коломийський,Івано-Франківська,https://uk.wikipedia.org/wiki/%D0%92%D0%B8%D1%82%D0%B2%D0%B8%D1%86%D1%8C%D0%BA%D0%B8%D0%B9_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C,UK,M,,
Панас Саксаганський,Саксаганський Панас Карпович,1859.0,1940.0,Кам’яно-Костувате,Вознесенський,Миколаївська,https://uk.wikipedia.org/wiki/%D0%A1%D0%B0%D0%BA%D1%81%D0%B0%D0%B3%D0%B0%D0%BD%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%9F%D0%B0%D0%BD%D0%B0%D1%81_%D0%9A%D0%B0%D1%80%D0%BF%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Наталія Дев'ятко,Дев'ятко Наталія Володимирівна,1983.0,,Дніпро,Дніпровський,Дніпропетровська,https://uk.wikipedia.org/wiki/%D0%94%D0%B5%D0%B2%27%D1%8F%D1%82%D0%BA%D0%BE_%D0%9D%D0%B0%D1%82%D0%B0%D0%BB%D1%96%D1%8F_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D1%96%D0%B2%D0%BD%D0%B0,UK,M,,
Мирослав Ірчан,Мирослав Ірчан,1897.0,1937.0,Коломийський район,Коломийський,Івано-Франківська,https://uk.wikipedia.org/wiki/%D0%9C%D0%B8%D1%80%D0%BE%D1%81%D0%BB%D0%B0%D0%B2_%D0%86%D1%80%D1%87%D0%B0%D0%BD,UK,M,,
Марта Калитовська,Калитовська Марта Ієронімівна,1916.0,1990.0,Стрий,Стрийський,Львівська,https://uk.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BB%D0%B8%D1%82%D0%BE%D0%B2%D1%81%D1%8C%D0%BA%D0%B0_%D0%9C%D0%B0%D1%80%D1%82%D0%B0_%D0%86%D1%94%D1%80%D0%BE%D0%BD%D1%96%D0%BC%D1%96%D0%B2%D0%BD%D0%B0,UK,M,,
Станіслав Росовецький,Росовецький Станіслав Казимирович,1945.0,2022.0,Херцеброк,,Німеччина,https://uk.wikipedia.org/wiki/%D0%A0%D0%BE%D1%81%D0%BE%D0%B2%D0%B5%D1%86%D1%8C%D0%BA%D0%B8%D0%B9_%D0%A1%D1%82%D0%B0%D0%BD%D1%96%D1%81%D0%BB%D0%B0%D0%B2_%D0%9A%D0%B0%D0%B7%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87,,M,,
Артим Хомик,Хомик Артим Якович,1881.0,1921.0,,,,https://uk.wikipedia.org/wiki/%D0%A5%D0%BE%D0%BC%D0%B8%D0%BA_%D0%90%D1%80%D1%82%D0%B8%D0%BC_%D0%AF%D0%BA%D0%BE%D0%B2%D0%B8%D1%87,,M,,
Іван Дмитрик,Дмитрик Іван,1919.0,1998.0,Коритнікі,gmina Krasiczyn,Польща,https://uk.wikipedia.org/wiki/%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%BA_%D0%86%D0%B2%D0%B0%D0%BD,PL,M,,
Роман Гамада,Гамада Роман Романович,1961.0,2017.0,Добромиль,Самбірський,Львівська,https://uk.wikipedia.org/wiki/%D0%93%D0%B0%D0%BC%D0%B0%D0%B4%D0%B0_%D0%A0%D0%BE%D0%BC%D0%B0%D0%BD_%D0%A0%D0%BE%D0%BC%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Отар Довженко,Отар Довженко,1981.0,,Запоріжжя,Запорізький,Запорізька,https://uk.wikipedia.org/wiki/%D0%9E%D1%82%D0%B0%D1%80_%D0%94%D0%BE%D0%B2%D0%B6%D0%B5%D0%BD%D0%BA%D0%BE,UK,M,,
