Автор,Повне ім'я,Рік народження,Рік смерті,Місце народження (населений пункт),Район,Регіон1,URL,Рідна мова,Стать,Місце народження,Регіон
Юрій Винничук,Винничук Юрій Павлович,1952.0,,Станіслав,Херсонський,Херсонська,https://uk.wikipedia.org/wiki/%D0%92%D0%B8%D0%BD%D0%BD%D0%B8%D1%87%D1%83%D0%BA_%D0%AE%D1%80%D1%96%D0%B9_%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Олесь Бердник,Бердник Олесь Павлович,1926.0,2003.0,Вавилове,Миколаївський,Миколаївська,https://uk.wikipedia.org/wiki/%D0%91%D0%B5%D1%80%D0%B4%D0%BD%D0%B8%D0%BA_%D0%9E%D0%BB%D0%B5%D1%81%D1%8C_%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Ростислав Самбук,Самбук Ростислав Феодосійович,1923.0,1996.0,Копаткевичі,Петриковський район,Білорусь,https://uk.wikipedia.org/wiki/%D0%A1%D0%B0%D0%BC%D0%B1%D1%83%D0%BA_%D0%A0%D0%BE%D1%81%D1%82%D0%B8%D1%81%D0%BB%D0%B0%D0%B2_%D0%A4%D0%B5%D0%BE%D0%B4%D0%BE%D1%81%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,BE,M,,
Улас Самчук,Самчук Улас Олексійович,1905.0,1987.0,Джерман,Дупница,Болга́рія,https://uk.wikipedia.org/wiki/%D0%A1%D0%B0%D0%BC%D1%87%D1%83%D0%BA_%D0%A3%D0%BB%D0%B0%D1%81_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,BG,M,,
Галина Пагутяк,Пагутяк Галина Василівна,1958.0,,Дрогобицький район,Дрогобицький,Львівська,https://uk.wikipedia.org/wiki/%D0%9F%D0%B0%D0%B3%D1%83%D1%82%D1%8F%D0%BA_%D0%93%D0%B0%D0%BB%D0%B8%D0%BD%D0%B0_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%96%D0%B2%D0%BD%D0%B0,UK,M,,
Петро Таращук,Таращук Петро Всеволодович,1956.0,,Вінниця,Вінницький,Вінницька,https://uk.wikipedia.org/wiki/%D0%A2%D0%B0%D1%80%D0%B0%D1%89%D1%83%D0%BA_%D0%9F%D0%B5%D1%82%D1%80%D0%BE_%D0%92%D1%81%D0%B5%D0%B2%D0%BE%D0%BB%D0%BE%D0%B4%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Валентин Чемерис,Чемерис Валентин Лукич,1936.0,2016.0,Заїчинці,Кременчуцький,Полтавська,https://uk.wikipedia.org/wiki/%D0%A7%D0%B5%D0%BC%D0%B5%D1%80%D0%B8%D1%81_%D0%92%D0%B0%D0%BB%D0%B5%D0%BD%D1%82%D0%B8%D0%BD_%D0%9B%D1%83%D0%BA%D0%B8%D1%87,UK,M,,
Ростислав Доценко,Доценко Ростислав Іванович,1931.0,2012.0,Київ,,Україна,https://uk.wikipedia.org/wiki/%D0%94%D0%BE%D1%86%D0%B5%D0%BD%D0%BA%D0%BE_%D0%A0%D0%BE%D1%81%D1%82%D0%B8%D1%81%D0%BB%D0%B0%D0%B2_%D0%86%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87,UK,M,,
Ірина Вільде,Ірина Вільде,1907.0,1982.0,Чернівці,Чернівецький,Чернівецька,https://uk.wikipedia.org/wiki/%D0%86%D1%80%D0%B8%D0%BD%D0%B0_%D0%92%D1%96%D0%BB%D1%8C%D0%B4%D0%B5,UK,F,,
Олександр Мокровольський,Мокровольський Олександр Миколайович,1946.0,2023.0,Черниші,Черкаський,Черкаська,https://uk.wikipedia.org/wiki/%D0%9C%D0%BE%D0%BA%D1%80%D0%BE%D0%B2%D0%BE%D0%BB%D1%8C%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%9C%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9%D0%BE%D0%B2%D0%B8%D1%87,RU,M,,
